tract_id,pct_ebll_cat,primary_county,num_EBLLs_tract,tested,pct_ebll_county,per_eblls_label,pct_ebll_cat_label
,,Minnesota,2476,325469,,,
27123980000,0,Ramsey County,0,0,1.5%,n/a,n/a
27163070801,0,Washington County,0,0,0.3%,n/a,n/a
27163070802,0,Washington County,0,0,0.3%,n/a,n/a
27001770100,2,Aitkin County,0,63,0.4%,0.0%,No significant difference
27001770200,2,Aitkin County,0,62,0.4%,0.0%,No significant difference
27001770300,2,Aitkin County,*1-4,115,0.4%,About 0.8%,No significant difference
27001770400,2,Aitkin County,0,98,0.4%,0.0%,No significant difference
27001790501,2,Aitkin County,0,40,0.4%,0.0%,No significant difference
27001790502,2,Aitkin County,0,68,0.4%,0.0%,No significant difference
27003050107,2,Anoka County,0,192,0.3%,0.0%,No significant difference
27003050108,2,Anoka County,*1-4,371,0.3%,About 0.8%,No significant difference
27003050109,2,Anoka County,*1-4,314,0.3%,About 0.8%,No significant difference
27003050110,2,Anoka County,*1-4,117,0.3%,About 0.8%,No significant difference
27003050111,2,Anoka County,*1-4,171,0.3%,About 0.8%,No significant difference
27003050114,2,Anoka County,0,140,0.3%,0.0%,No significant difference
27003050115,2,Anoka County,0,289,0.3%,0.0%,No significant difference
27003050116,2,Anoka County,0,206,0.3%,0.0%,No significant difference
27003050208,2,Anoka County,0,192,0.3%,0.0%,No significant difference
27003050210,2,Anoka County,*1-4,130,0.3%,About 0.8%,No significant difference
27003050215,2,Anoka County,0,125,0.3%,0.0%,No significant difference
27003050216,2,Anoka County,*1-4,250,0.3%,About 0.8%,No significant difference
27003050217,2,Anoka County,0,165,0.3%,0.0%,No significant difference
27003050218,2,Anoka County,0,147,0.3%,0.0%,No significant difference
27003050219,2,Anoka County,0,146,0.3%,0.0%,No significant difference
27003050220,2,Anoka County,0,340,0.3%,0.0%,No significant difference
27003050221,2,Anoka County,0,342,0.3%,0.0%,No significant difference
27003050222,2,Anoka County,*1-4,290,0.3%,About 0.8%,No significant difference
27003050223,2,Anoka County,0,134,0.3%,0.0%,No significant difference
27003050224,2,Anoka County,0,238,0.3%,0.0%,No significant difference
27003050225,2,Anoka County,0,278,0.3%,0.0%,No significant difference
27003050226,2,Anoka County,0,166,0.3%,0.0%,No significant difference
27003050227,2,Anoka County,0,261,0.3%,0.0%,No significant difference
27003050228,1,Anoka County,0,431,0.3%,0.0%,Significantly lower (<0.7%)
27003050229,2,Anoka County,0,211,0.3%,0.0%,No significant difference
27003050230,2,Anoka County,0,164,0.3%,0.0%,No significant difference
27003050232,2,Anoka County,*1-4,180,0.3%,About 0.8%,No significant difference
27003050233,2,Anoka County,0,170,0.3%,0.0%,No significant difference
27003050234,2,Anoka County,0,174,0.3%,0.0%,No significant difference
27003050235,2,Anoka County,*1-4,141,0.3%,About 0.8%,No significant difference
27003050236,2,Anoka County,0,201,0.3%,0.0%,No significant difference
27003050237,2,Anoka County,*1-4,239,0.3%,About 0.8%,No significant difference
27003050401,2,Anoka County,*1-4,180,0.3%,About 0.8%,No significant difference
27003050402,2,Anoka County,*1-4,177,0.3%,About 0.8%,No significant difference
27003050501,2,Anoka County,0,158,0.3%,0.0%,No significant difference
27003050504,2,Anoka County,0,164,0.3%,0.0%,No significant difference
27003050505,2,Anoka County,0,385,0.3%,0.0%,No significant difference
27003050602,2,Anoka County,0,162,0.3%,0.0%,No significant difference
27003050605,2,Anoka County,0,374,0.3%,0.0%,No significant difference
27003050606,2,Anoka County,0,96,0.3%,0.0%,No significant difference
27003050607,2,Anoka County,0,312,0.3%,0.0%,No significant difference
27003050608,2,Anoka County,*1-4,324,0.3%,About 0.8%,No significant difference
27003050609,2,Anoka County,*1-4,209,0.3%,About 0.8%,No significant difference
27003050610,2,Anoka County,*1-4,437,0.3%,About 0.8%,No significant difference
27003050702,2,Anoka County,0,172,0.3%,0.0%,No significant difference
27003050704,2,Anoka County,*1-4,292,0.3%,About 0.8%,No significant difference
27003050706,2,Anoka County,*1-4,241,0.3%,About 0.8%,No significant difference
27003050707,2,Anoka County,0,275,0.3%,0.0%,No significant difference
27003050709,2,Anoka County,0,122,0.3%,0.0%,No significant difference
27003050710,2,Anoka County,*1-4,249,0.3%,About 0.8%,No significant difference
27003050711,2,Anoka County,*1-4,317,0.3%,About 0.8%,No significant difference
27003050712,2,Anoka County,0,217,0.3%,0.0%,No significant difference
27003050805,2,Anoka County,*1-4,467,0.3%,About 0.8%,No significant difference
27003050806,1,Anoka County,0,415,0.3%,0.0%,Significantly lower (<0.7%)
27003050807,2,Anoka County,0,266,0.3%,0.0%,No significant difference
27003050808,2,Anoka County,*1-4,137,0.3%,About 0.8%,No significant difference
27003050809,2,Anoka County,*1-4,412,0.3%,About 0.8%,No significant difference
27003050810,2,Anoka County,0,229,0.3%,0.0%,No significant difference
27003050811,2,Anoka County,0,171,0.3%,0.0%,No significant difference
27003050813,1,Anoka County,0,434,0.3%,0.0%,Significantly lower (<0.7%)
27003050816,2,Anoka County,0,384,0.3%,0.0%,No significant difference
27003050818,1,Anoka County,0,462,0.3%,0.0%,Significantly lower (<0.7%)
27003050819,2,Anoka County,*1-4,287,0.3%,About 0.8%,No significant difference
27003050820,2,Anoka County,0,225,0.3%,0.0%,No significant difference
27003050821,2,Anoka County,*1-4,167,0.3%,About 0.8%,No significant difference
27003050901,2,Anoka County,*1-4,117,0.3%,About 0.8%,No significant difference
27003050902,2,Anoka County,*1-4,281,0.3%,About 0.8%,No significant difference
27003051001,3,Anoka County,*1-4,113,0.3%,> 0.8%,Significantly higher (1-2 times)
27003051002,2,Anoka County,*1-4,236,0.3%,About 0.8%,No significant difference
27003051101,2,Anoka County,0,313,0.3%,0.0%,No significant difference
27003051102,2,Anoka County,*1-4,329,0.3%,About 0.8%,No significant difference
27003051103,2,Anoka County,0,290,0.3%,0.0%,No significant difference
27003051201,2,Anoka County,5,332,0.3%,1.5%,No significant difference
27003051202,2,Anoka County,0,271,0.3%,0.0%,No significant difference
27003051203,3,Anoka County,5,262,0.3%,1.9%,Significantly higher (1-2 times)
