"","Year","StateAbbr","StateDesc","CountyName","CountyFIPS","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Geolocation","LocationID"
"1",2020,"MN","Minnesota","Freeborn",27047,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.6,8.6,10.6,4291,"POINT (-93.36600737 43.67488283)",27047180500
"2",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.7,5.2,6.3,2861,"POINT (-93.16068628 44.50762811)",27037061502
"3",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.8,3.4,4.2,5393,"POINT (-93.28624282 45.22665051)",27003050222
"4",2020,"MN","Minnesota","Benton",27009,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.5,5.1,5.8,2773,"POINT (-94.02866595 45.73527675)",27009020202
"5",2020,"MN","Minnesota","Cass",27021,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.8,7.2,8.4,4426,"POINT (-94.5777346 46.65823466)",27021960700
"6",2020,"MN","Minnesota","Fillmore",27045,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.1,6.5,7.7,3254,"POINT (-91.91765566 43.80820342)",27045960100
"7",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.9,4.6,5.3,4534,"POINT (-93.28302961 44.94483999)",27053008200
"8",2020,"MN","Minnesota","Becker",27005,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.5,7.1,7.9,2248,"POINT (-95.53673403 46.84227995)",27005450200
"9",2020,"MN","Minnesota","Chisago",27025,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.3,5,5.6,3954,"POINT (-92.73905965 45.46606859)",27025110700
"10",2020,"MN","Minnesota","Cass",27021,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.1,8.6,9.6,3101,"POINT (-94.31159339 47.32453932)",27021940002
"11",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4,3.7,4.4,5481,"POINT (-93.65511554 44.86640601)",27019090402
"12",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5,4.6,5.4,4262,"POINT (-93.29307648 44.74470716)",27037060745
"13",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.3,3,3.7,4296,"POINT (-93.08819489 45.13447121)",27003050236
"14",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",2.6,2.3,2.9,6581,"POINT (-93.15339823 44.67594459)",27037060907
"15",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.2,4.8,5.6,4868,"POINT (-93.26025046 45.0414296)",27003051400
"16",2020,"MN","Minnesota","Brown",27015,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.5,4.9,6,4482,"POINT (-94.46194244 44.29730022)",27015960200
"17",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.2,4.7,5.7,4911,"POINT (-93.37778342 45.22048772)",27003050505
"18",2020,"MN","Minnesota","Goodhue",27049,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.5,5.2,5.8,4115,"POINT (-92.68148567 44.48373861)",27049080400
"19",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.4,7.8,8.9,5797,"POINT (-93.94841512 46.5138632)",27035950700
"20",2020,"MN","Minnesota","Blue Earth",27013,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.8,5.3,6.4,3359,"POINT (-94.19493826 44.0735999)",27013171000
"21",2020,"MN","Minnesota","Freeborn",27047,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.5,6.2,6.8,2879,"POINT (-93.170794 43.75798195)",27047180100
"22",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.7,6.2,7.2,2567,"POINT (-94.12217091 46.52576617)",27035950502
"23",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.7,5,6.5,6748,"POINT (-93.83506574 44.8573046)",27019090301
"24",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.3,3,3.7,3690,"POINT (-93.18242603 44.82400723)",27037060716
"25",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.3,5.7,6.9,3170,"POINT (-93.25266125 45.05630682)",27003051305
