"","geoid","cleanup_points","cleanup_percentile","groundwater_points","groundwater_percentile","hw_points","hw_percentile","impaired_points","impaired_percentile","sw_points","sw_percentile"
"1",27001770100,15.6,37.39,11,39.69,1,40.77,4,34.79,4.2,47.47
"2",27001770200,8,23.28,14,49.93,10,81.01,4,34.79,14,82.88
"3",27001770300,24,48.9,49,95.97,12.5,85.08,3,19.13,12,78.04
"4",27001770401,14,34.25,10,35.45,14.5,87.81,3,19.13,0,0
"5",27001770402,11,29.16,24,74.52,2.5,55.1,5,51,7.5,63.83
"6",27001790501,1,4.82,13,46.72,1.5,45.9,3,19.13,7,61.14
"7",27001790503,1,4.82,7,23.09,1.5,45.9,3,19.13,4,43.49
"8",27001790504,1,4.82,5,15.23,3,58.23,4,34.79,10,73.63
"9",27003050107,17,39.26,10,35.45,2,50.77,2,9.22,1.5,12.16
"10",27003050108,7.75,22.88,10,35.45,0,0,1,0,9.5,71.91
"11",27003050109,8.35,24.41,13,46.72,0.5,35.84,1,0,4.5,47.79
"12",27003050110,26.6,52.44,5,15.23,1.5,45.9,2,9.22,5.5,52.42
"13",27003050111,1.25,7.69,5,15.23,0,0,2,9.22,3,34.98
"14",27003050114,3,12.11,1,0,0,0,2,9.22,0,0
"15",27003050115,19,42.14,16,55.4,6,71.95,2,9.22,0.5,3.34
"16",27003050116,6,18.66,11,39.69,1.5,45.9,5,51,0,0
"17",27003050208,42.05,66.15,10,35.45,0,0,4,34.79,1,8.18
"18",27003050210,22,46.62,17,57.79,13.5,86.54,5,51,2,25.62
"19",27003050215,36.05,60.2,8,27.46,0.5,35.84,4,34.79,2,25.62
"20",27003050216,7.45,22.01,9,31.35,0,0,4,34.79,0,0
"21",27003050217,2.1,10.5,6,18.58,3,58.23,1,0,0,0
"22",27003050218,1.5,7.96,1,0,0,0,4,34.79,0,0
"23",27003050219,6.1,19.67,2,3.28,0,0,4,34.79,0,0
"24",27003050220,48.5,69.9,15,52.6,0,0,4,34.79,0,0
"25",27003050222,22.05,46.89,5,15.23,0,0,3,19.13,0,0
"26",27003050223,7.95,23.21,2,3.28,7,74.48,5,51,5.5,52.42
"27",27003050224,10.25,28.03,2,3.28,1,40.77,4,34.79,1.5,12.16
"28",27003050226,20.2,44.41,4,11.07,0,0,1,0,0,0
"29",27003050227,85.25,83.34,10,35.45,7.5,75.62,4,34.79,3,34.98
"30",27003050228,96,85.42,31,86.13,12.5,85.08,5,51,6,55.11
"31",27003050229,44.1,67.36,7,23.09,0.5,35.84,3,19.13,1.8,25.3
"32",27003050230,14.1,34.98,4,11.07,7,74.48,4,34.79,0.6,6.24
"33",27003050232,15.25,36.79,14,49.93,0,0,4,34.79,0,0
"34",27003050233,11.55,30.9,12,43.58,0,0,4,34.79,0,0
"35",27003050234,3.6,14.58,2,3.28,0,0,4,34.79,0,0
"36",27003050235,7,20.54,11,39.69,0,0,1,0,0,0
"37",27003050236,10.5,28.49,3,7.17,0,0,1,0,3,34.98
"38",27003050237,40.35,64.82,4,11.07,0,0,4,34.79,0,0
"39",27003050239,1.2,7.36,2,3.28,0,0,3,19.13,0,0
"40",27003050401,135.5,91.3,30,84.97,9.5,79.95,5,51,7.5,63.83
"41",27003050402,82.35,82.74,17,57.79,2,50.77,5,51,0.1,0.32
"42",27003050501,98.15,85.95,24,74.52,0,0,5,51,0.25,2.05
"43",27003050504,39.15,63.34,7,23.09,20,92.87,6,63.41,1.5,12.16
"44",27003050505,56.55,74.11,21,68.24,26,96,4,34.79,0.5,3.34
"45",27003050602,26.95,52.84,4,11.07,0,0,4,34.79,3.75,43.27
"46",27003050605,19.85,43.61,8,27.46,4.5,66.36,5,51,1.5,12.16
"47",27003050606,26,51.64,2,3.28,2,50.77,4,34.79,0,0
"48",27003050607,38.8,63.14,13,46.72,0,0,4,34.79,4.5,47.79
"49",27003050608,38.25,62.54,8,27.46,0,0,4,34.79,3,34.98
"50",27003050609,35.7,60,7,23.09,1,40.77,4,34.79,0,0
"51",27003050611,16,38.06,7,23.09,0,0,5,51,0,0
"52",27003050612,9.55,26.69,0,0,0,0,6,63.41,0,0
"53",27003050702,10.05,27.89,3,7.17,0,0,3,19.13,0,0
"54",27003050704,29,54.72,6,18.58,1,40.77,3,19.13,1.8,25.3
"55",27003050706,5.25,17.59,5,15.23,0,0,3,19.13,0,0
"56",27003050709,32.15,56.99,3,7.17,7,74.48,4,34.79,0,0
"57",27003050710,31.25,56.59,7,23.09,7.5,75.62,4,34.79,3,34.98
"58",27003050711,2.6,11.57,2,3.28,0,0,3,19.13,1,8.18
"59",27003050712,23.6,48.49,4,11.07,0,0,4,34.79,0,0
"60",27003050807,6.25,19.93,1,0,0,0,2,9.22,0,0
"61",27003050808,3,12.11,7,23.09,1,40.77,2,9.22,1.5,12.16
"62",27003050810,12.8,32.58,3,7.17,0,0,2,9.22,0.5,3.34
"63",27003050811,18.4,41.47,12,43.58,2,50.77,2,9.22,0,0
"64",27003050816,90.95,84.68,20,65.92,1,40.77,3,19.13,24.5,93.43
"65",27003050818,14.6,35.72,5,15.23,0,0,0,0,0,0
"66",27003050819,29.65,55.65,5.5,18.17,0,0,1,0,0,0
"67",27003050820,9.25,26.15,2,3.28,0,0,0,0,0,0
"68",27003050821,39.35,63.61,9,31.35,3.5,61.49,0,0,0,0
"69",27003050822,14.6,35.72,1,0,0,0,0,0,0,0
"70",27003050823,15.5,37.12,7,23.09,0,0,2,9.22,0,0
"71",27003050824,10.9,29.1,2,3.28,1,40.77,2,9.22,0,0
"72",27003050825,2.75,11.71,0,0,0,0,2,9.22,0,0
"73",27003050826,5.4,17.93,6,18.58,0.5,35.84,2,9.22,1,8.18
"74",27003050828,18.75,41.87,12,43.58,0,0,4,34.79,2.3,31.75
"75",27003050829,92.25,84.95,34,88.93,34,97.73,2,9.22,17.7,87.94
"76",27003050901,33.15,57.59,4,11.07,1,40.77,4,34.79,2,25.62
"77",27003050902,36,60.13,3,7.17,0,0,4,34.79,2.25,31.32
"78",27003051001,55,73.24,22.5,72.2,8.5,77.81,3,19.13,0,0
"79",27003051002,35.2,59.73,7,23.09,0,0,4,34.79,0,0
"80",27003051101,87.6,83.61,25,76.98,61.5,99.73,4,34.79,0,0
"81",27003051102,106.1,86.89,18.5,62.84,15,88.41,5,51,1.5,12.16
"82",27003051103,77.4,81.27,35,89.82,15.5,89.01,4,34.79,0,0
"83",27003051201,83.5,82.94,27.25,82.17,13,85.74,5,51,0,0
"84",27003051202,80.6,82.27,24.25,76.64,0,0,5,51,0,0
"85",27003051203,25.9,51.51,13,46.72,0,0,5,51,0,0
"86",27003051206,186,94.38,100,99.66,17.5,90.47,6,63.41,1.5,12.16
"87",27003051302,50.35,71.1,11,39.69,0,0,3,19.13,0,0
"88",27003051304,55.05,73.44,17.25,60.25,2.5,55.1,5,51,0,0
"89",27003051305,60.4,75.79,7,23.09,3,58.23,3,19.13,4,43.49
"90",27003051400,117.45,88.7,19,63.39,12,84.21,6,63.41,0,0
"91",27003051501,79.75,82.01,10,35.45,0,0,3,19.13,0,0
"92",27003051502,58.15,74.98,2,3.28,0,0,3,19.13,0,0
"93",27003051600,0.25,3.41,3,7.17,2,50.77,4,34.79,3,34.98
"94",27005450100,1,4.82,6,18.58,17,90.14,4,34.79,13,80.52
"95",27005450200,10,27.02,6,18.58,0,0,4,34.79,16.5,86.01
"96",27005450300,42.5,66.35,11,39.69,10,81.01,5,51,32,96.77
"97",27005450400,20.75,45.08,17,57.79,10,81.01,2,9.22,21.5,90.85
"98",27005450500,27,52.98,34,88.93,13.5,86.54,5,51,5.5,52.42
"99",27005450600,17.05,39.6,15,52.6,1,40.77,5,51,0,0
"100",27005450700,3.7,14.78,8,27.46,0,0,5,51,25,93.86
"101",27005450800,12,31.44,11,39.69,5.5,69.82,4,34.79,0,0
"102",27005450900,0,0,16,55.4,0.5,35.84,4,34.79,1.5,12.16
"103",27005940000,0,0,21,68.24,0,0,3,19.13,6.5,58.45
"104",27007450101,25,50.1,10,35.45,8.5,77.81,0,0,14.5,83.21
"105",27007450102,10.6,28.63,13.5,49.59,3,58.23,3,19.13,11.5,77.07
"106",27007450202,6.1,19.67,11,39.69,8.5,77.81,1,0,0.5,3.34
"107",27007450300,1,4.82,8,27.46,15,88.41,3,19.13,19.5,89.02
"108",27007450400,10,27.02,27,80.94,1,40.77,4,34.79,0,0
"109",27007450500,7,20.54,15,52.6,0,0,5,51,4,43.49
"110",27007450600,33.7,58.33,18,60.66,2,50.77,2,9.22,0,0
"111",27007450703,33.4,57.99,13,46.72,19.5,92.41,1,0,2.5,31.86
"112",27007450704,62,76.25,35.75,90.51,12,84.21,3,19.13,3.75,43.27
"113",27007450705,10.35,28.29,2.5,6.9,0,0,1,0,0,0
"114",27007450706,39.5,63.68,24,74.52,14,87.14,2,9.22,16.5,86.01
"115",27007940001,0,0,11,39.69,0,0,4,34.79,0,0
"116",27007940002,0,0,8,27.46,0,0,1,0,0,0
"117",27009020100,23,47.83,24,74.52,0.5,35.84,4,34.79,0,0
"118",27009020202,18.45,41.61,13,46.72,4,63.56,6,63.41,2,25.62
"119",27009020203,2.2,10.77,6,18.58,17,90.14,7,76.09,2,25.62
"120",27009020205,14,34.25,7,23.09,2,50.77,3,19.13,15.5,85.04
"121",27009020206,13,32.91,4,11.07,0,0,2,9.22,0.75,7
"122",27009020300,13.75,33.98,16,55.4,53,99.4,5,51,24.6,93.76
"123",27009021102,69.2,79.2,20,65.92,46,99.07,3,19.13,6,55.11
"124",27009021103,2.8,11.84,11,39.69,0.5,35.84,3,19.13,1.5,12.16
"125",27009021104,34.85,59.4,5,15.23,13,85.74,3,19.13,5.5,52.42
"126",27009021201,104.9,86.62,48,95.83,20.5,93.27,3,19.13,16.5,86.01
"127",27011950100,15,36.32,11,39.69,3.5,61.49,7,76.09,24,92.68
"128",27011950200,2,8.63,19,63.39,10,81.01,5,51,5,50.27
"129",27011950300,17,39.26,32,87.16,8.5,77.81,5,51,1,8.18
"130",27013170100,3,12.11,9,31.35,2.5,55.1,8,83.02,3,34.98
"131",27013170200,57.95,74.78,16.5,56.97,24,95.34,11,96.6,24.1,93.11
"132",27013170300,159.6,92.58,49,95.97,53,99.4,9,88.01,17.1,87.19
"133",27013170400,41.3,65.48,24.75,76.91,10,81.01,8,83.02,3.1,40.58
"134",27013170500,6.6,20.33,25,76.98,14.5,87.81,0,0,0,0
"135",27013170600,56.8,74.31,10,35.45,1,40.77,8,83.02,0,0
"136",27013170700,81.85,82.68,29,83.81,8,76.88,8,83.02,4,43.49
"137",27013170800,57.6,74.52,7,23.09,6.5,73.22,8,83.02,1.25,11.84
"138",27013170900,47,68.96,40,93.17,57.5,99.6,10,93.9,43,99.03
"139",27013171000,3.25,13.85,20,65.92,3.5,61.49,8,83.02,2,25.62
"140",27013171101,14.1,34.98,7,23.09,6.5,73.22,8,83.02,0.25,2.05
"141",27013171202,18.9,42.01,2,3.28,15.5,89.01,8,83.02,8.1,67.71
"142",27013171300,25,50.1,15,52.6,23,94.67,9,88.01,1,8.18
"143",27013171400,8,23.28,26,79.03,7,74.48,9,88.01,6,55.11
"144",27013171500,6,18.66,18,60.66,3,58.23,7,76.09,20.5,89.88
"145",27013171600,3,12.11,2,3.28,2,50.77,1,0,0,0
"146",27015960101,25.6,51.17,26,79.03,13,85.74,4,34.79,4.5,47.79
"147",27015960102,12.6,32.31,10,35.45,2.5,55.1,6,63.41,1.5,12.16
"148",27015960200,19.6,43.14,8,27.46,2,50.77,4,34.79,1.5,12.16
"149",27015960300,16.85,39.2,3,7.17,4,63.56,4,34.79,0,0
"150",27015960400,20.95,45.22,24,74.52,19.5,92.41,5,51,44.35,99.46
