"","Year","StateAbbr","StateDesc","CountyName","CountyFIPS","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Geolocation","geoid","percentile_rank"
"1",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.4,9,9.7,6426,"POINT (-93.24246099 45.20444747)",27003050805,0.731432858214554
"2",2020,"MN","Minnesota","Washington",27163,"Current asthma among adults aged >=18 years","%","Crude prevalence",7.9,7.5,8.3,6580,"POINT (-92.82436997 44.98627045)",27163070701,0.013503375843961
"3",2020,"MN","Minnesota","Hennepin",27053,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.5,8.2,8.9,5732,"POINT (-93.30490055 44.89635147)",27053012001,0.190547636909227
"4",2020,"MN","Minnesota","Douglas",27041,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.6,8.2,9,3509,"POINT (-95.50809948 45.81393473)",27041450900,0.246811702925731
"5",2020,"MN","Minnesota","Cass",27021,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.2,8.9,9.6,3860,"POINT (-94.5348767 47.09743645)",27021940001,0.653413353338335
"6",2020,"MN","Minnesota","Goodhue",27049,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.7,8.3,9.1,4052,"POINT (-92.67332637 44.23821335)",27049080800,0.307576894223556
"7",2020,"MN","Minnesota","Faribault",27043,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.1,8.8,9.4,1995,"POINT (-94.13871668 43.60745937)",27043460300,0.591147786946737
"8",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.4,8.9,9.9,3587,"POINT (-93.04941713 44.90529477)",27037060202,0.731432858214554
"9",2020,"MN","Minnesota","Brown",27015,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.1,8.6,9.8,1270,"POINT (-94.43540092 44.29648817)",27015960102,0.591147786946737
"10",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.6,9.1,10.1,3261,"POINT (-93.21218537 44.76792306)",27037060805,0.807951987996999
"11",2020,"MN","Minnesota","Beltrami",27007,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.7,8.3,9.2,6514,"POINT (-94.86010224 47.54916614)",27007450200,0.307576894223556
"12",2020,"MN","Minnesota","Crow Wing",27035,"Current asthma among adults aged >=18 years","%","Crude prevalence",8,7.7,8.4,2675,"POINT (-94.27821278 46.49897964)",27035950501,0.0255063765941485
"13",2020,"MN","Minnesota","Hennepin",27053,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.6,9.1,10.2,2027,"POINT (-93.24225703 45.01680705)",27053001100,0.807951987996999
"14",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.4,8,8.9,2759,"POINT (-93.11677622 44.8727338)",27037060606,0.141035258814704
"15",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.9,8.4,9.3,6229,"POINT (-93.31388004 45.20497834)",27003050707,0.439609902475619
"16",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.4,9,9.9,2870,"POINT (-93.25279868 45.13196903)",27003050811,0.731432858214554
"17",2020,"MN","Minnesota","Carver",27019,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.1,7.5,8.7,2405,"POINT (-93.60639711 44.87924441)",27019090501,0.0412603150787697
"18",2020,"MN","Minnesota","Chippewa",27023,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.1,8.8,9.4,2056,"POINT (-95.5657878 44.90133481)",27023950300,0.591147786946737
"19",2020,"MN","Minnesota","Becker",27005,"Current asthma among adults aged >=18 years","%","Crude prevalence",11,10.8,11.2,3833,"POINT (-95.67035628 47.05910544)",27005940000,0.957989497374344
"20",2020,"MN","Minnesota","Crow Wing",27035,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.6,8.3,9,5002,"POINT (-94.20907801 46.23492867)",27035951400,0.246811702925731
"21",2020,"MN","Minnesota","Becker",27005,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.1,8.8,9.4,3012,"POINT (-95.27684483 46.88933912)",27005450100,0.591147786946737
"22",2020,"MN","Minnesota","Brown",27015,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.6,8.4,8.9,3457,"POINT (-94.62861655 44.18788203)",27015960700,0.246811702925731
"23",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.9,9.4,10.5,3489,"POINT (-93.2805804 45.14354812)",27003050710,0.868717179294824
"24",2020,"MN","Minnesota","Hennepin",27053,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.7,8.3,9.1,3980,"POINT (-93.21452749 44.90991861)",27053011998,0.307576894223556
"25",2020,"MN","Minnesota","Carver",27019,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.1,7.7,8.5,2593,"POINT (-93.561598 44.87567096)",27019090503,0.0412603150787697
"26",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.8,8.3,9.3,4192,"POINT (-93.24093155 45.23203166)",27003050215,0.36384096024006
"27",2020,"MN","Minnesota","Goodhue",27049,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.4,8.1,8.7,3998,"POINT (-92.43915082 44.47370098)",27049080300,0.141035258814704
"28",2020,"MN","Minnesota","Carver",27019,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.2,7.7,8.9,2973,"POINT (-93.53553615 44.88407103)",27019090602,0.0622655663915979
"29",2020,"MN","Minnesota","Chisago",27025,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.4,8.2,8.7,4747,"POINT (-92.80464788 45.37417914)",27025110600,0.141035258814704
"30",2020,"MN","Minnesota","Carver",27019,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.5,8.2,8.8,3958,"POINT (-93.95004271 44.89140982)",27019090200,0.190547636909227
"31",2020,"MN","Minnesota","Beltrami",27007,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.3,9.1,9.6,2912,"POINT (-94.83942493 47.73524377)",27007450400,0.691672918229557
"32",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.9,8.5,9.5,4965,"POINT (-93.14396634 44.72477269)",27037061007,0.439609902475619
"33",2020,"MN","Minnesota","Carver",27019,"Current asthma among adults aged >=18 years","%","Crude prevalence",8,7.5,8.5,2871,"POINT (-93.58219752 44.87552402)",27019090502,0.0255063765941485
"34",2020,"MN","Minnesota","Chisago",27025,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.8,8.4,9.1,8704,"POINT (-92.96655805 45.33721279)",27025110401,0.36384096024006
"35",2020,"MN","Minnesota","Hennepin",27053,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.8,8.3,9.5,3394,"POINT (-93.29321485 44.94483749)",27053008100,0.36384096024006
"36",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9,8.6,9.5,2861,"POINT (-93.18097852 45.28047935)",27003050234,0.517629407351838
"37",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.1,8.6,9.6,5881,"POINT (-93.23049313 44.65204045)",27037060821,0.591147786946737
"38",2020,"MN","Minnesota","Crow Wing",27035,"Current asthma among adults aged >=18 years","%","Crude prevalence",10.1,9.6,10.7,4368,"POINT (-94.18523913 46.33468704)",27035951100,0.899474868717179
"39",2020,"MN","Minnesota","Hennepin",27053,"Current asthma among adults aged >=18 years","%","Crude prevalence",10.6,10.1,11.1,1812,"POINT (-93.31348144 44.9878611)",27053003200,0.943735933983496
"40",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.8,8.3,9.5,5716,"POINT (-93.07479208 44.80246572)",27037060508,0.36384096024006
"41",2020,"MN","Minnesota","Blue Earth",27013,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.6,8.3,8.9,3822,"POINT (-93.93806315 44.0692288)",27013171300,0.246811702925731
"42",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.4,8,8.9,4641,"POINT (-93.18919248 44.78229991)",27037060734,0.141035258814704
"43",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.6,8.1,9.2,7864,"POINT (-93.28773482 44.65439969)",27037060820,0.246811702925731
"44",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9,8.4,9.5,6365,"POINT (-93.29105976 45.24771807)",27003050221,0.517629407351838
"45",2020,"MN","Minnesota","Faribault",27043,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.2,8.7,9.7,2590,"POINT (-93.70203399 43.71966716)",27043460600,0.653413353338335
"46",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.6,8.1,9.1,1573,"POINT (-93.21829689 44.7844411)",27037060744,0.246811702925731
"47",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.9,9.4,10.4,3733,"POINT (-93.27199308 45.07800001)",27003051201,0.868717179294824
"48",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.8,8.6,9.2,2414,"POINT (-93.15993334 44.58427953)",27037061501,0.36384096024006
"49",2020,"MN","Minnesota","Carlton",27017,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.4,9.1,9.6,7822,"POINT (-92.4281044 46.53805333)",27017070400,0.731432858214554
"50",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.9,8.4,9.4,5879,"POINT (-93.23311084 44.72473234)",27037060812,0.439609902475619
"51",2020,"MN","Minnesota","Carver",27019,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.5,8,9.1,5481,"POINT (-93.58622742 44.82584242)",27019090900,0.190547636909227
"52",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",10.3,9.8,10.8,4431,"POINT (-93.30433475 45.1675212)",27003050608,0.926481620405101
"53",2020,"MN","Minnesota","Freeborn",27047,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.1,8.9,9.4,2735,"POINT (-93.4963663 43.77274377)",27047180200,0.591147786946737
"54",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.2,8.7,9.8,3061,"POINT (-93.36719736 45.24264123)",27003050219,0.653413353338335
"55",2020,"MN","Minnesota","Freeborn",27047,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.1,8.7,9.4,2362,"POINT (-93.17027397 43.58262051)",27047181000,0.591147786946737
"56",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.2,8.7,9.8,3281,"POINT (-93.31093232 45.21599856)",27003050208,0.653413353338335
"57",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.7,8.3,9.1,6364,"POINT (-92.874824 44.70276986)",27037061107,0.307576894223556
"58",2020,"MN","Minnesota","Clay",27027,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.9,9.3,10.8,2949,"POINT (-96.76672548 46.87143562)",27027020300,0.868717179294824
"59",2020,"MN","Minnesota","Dakota",27037,"Current asthma among adults aged >=18 years","%","Crude prevalence",9.4,8.9,10,4480,"POINT (-93.23836629 44.77747078)",27037060714,0.731432858214554
"60",2020,"MN","Minnesota","Big Stone",27011,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.8,8.5,9.1,1516,"POINT (-96.28686844 45.38171134)",27011950100,0.36384096024006
"61",2020,"MN","Minnesota","Chisago",27025,"Current asthma among adults aged >=18 years","%","Crude prevalence",8.6,8.3,8.9,4005,"POINT (-93.07367737 45.64903953)",27025110100,0.246811702925731
"62",2020,"MN","Minnesota","Anoka",27003,"Current asthma among adults aged >=18 years","%","Crude prevalence",10.2,9.8,10.7,3005,"POINT (-93.24469421 45.04343071)",27003051501,0.912228057014254
