"","geoid","points_250","points_500","points_750","points_1000","cleanup_points","percentile_rank"
"1",27001770100,14,NA,NA,1.6,15.6,0.373913043478261
"2",27001770200,8,NA,NA,NA,8,0.232775919732441
"3",27001770300,24,NA,NA,NA,24,0.488963210702341
"4",27001770401,14,NA,NA,NA,14,0.34247491638796
"5",27001770402,11,NA,NA,NA,11,0.291638795986622
"6",27001790501,1,NA,NA,NA,1,0.0481605351170569
"7",27001790503,0,NA,NA,1,1,0.0481605351170569
"8",27001790504,1,NA,NA,NA,1,0.0481605351170569
"9",27003050107,17,NA,NA,NA,17,0.392642140468227
"10",27003050108,3,4,0.75,NA,7.75,0.22876254180602
"11",27003050109,7,1,0.25,0.1,8.35,0.244147157190635
"12",27003050110,26,0.5,NA,0.1,26.6,0.524414715719064
"13",27003050111,1,NA,0.25,NA,1.25,0.0769230769230769
"14",27003050114,3,NA,NA,NA,3,0.121070234113712
"15",27003050115,19,NA,NA,NA,19,0.421404682274247
"16",27003050116,0,4.5,1.5,NA,6,0.186622073578595
"17",27003050208,39,0.5,1.75,0.8,42.05,0.661538461538462
"18",27003050210,20,0.5,0.5,1,22,0.466220735785953
"19",27003050215,32,0.5,3.25,0.3,36.05,0.602006688963211
"20",27003050216,6,1,0.25,0.2,7.45,0.220066889632107
"21",27003050217,2,NA,NA,0.1,2.1,0.105016722408027
"22",27003050218,1,0.5,NA,NA,1.5,0.0795986622073579
"23",27003050219,6,NA,NA,0.1,6.1,0.196655518394649
"24",27003050220,47,1.5,NA,NA,48.5,0.698996655518395
"25",27003050222,18,3,0.25,0.8,22.05,0.468896321070234
"26",27003050223,7,0.5,0.25,0.2,7.95,0.232107023411371
"27",27003050224,10,NA,0.25,NA,10.25,0.280267558528428
"28",27003050226,17,NA,3,0.2,20.2,0.444147157190635
"29",27003050227,73,10.5,1.25,0.5,85.25,0.833444816053512
"30",27003050228,84,11.5,0.5,NA,96,0.854180602006689
"31",27003050229,44,NA,NA,0.1,44.1,0.673578595317726
"32",27003050230,12,1.5,NA,0.6,14.1,0.349832775919732
"33",27003050232,15,NA,0.25,NA,15.25,0.367892976588629
"34",27003050233,9,NA,0.75,1.8,11.55,0.309030100334448
"35",27003050234,3,NA,0.5,0.1,3.6,0.145819397993311
"36",27003050235,7,NA,NA,NA,7,0.205351170568562
"37",27003050236,9,1.5,NA,NA,10.5,0.28494983277592
"38",27003050237,28,11.5,0.25,0.6,40.35,0.648160535117057
"39",27003050239,1,NA,NA,0.2,1.2,0.0735785953177258
"40",27003050401,128,1.5,5,1,135.5,0.91304347826087
"41",27003050402,62,15.5,2.25,2.6,82.35,0.82742474916388
"42",27003050501,83,14,0.25,0.9,98.15,0.859531772575251
"43",27003050504,20,9.5,4.25,5.4,39.15,0.633444816053512
"44",27003050505,33,17,5.75,0.8,56.55,0.741137123745819
"45",27003050602,19,5,2.25,0.7,26.95,0.528428093645485
"46",27003050605,11,6.5,1.75,0.6,19.85,0.436120401337793
"47",27003050606,19,1.5,5.5,NA,26,0.516387959866221
