"","geoid","score_250","score_500","score_750","score_1000","leak_site_points","groundwater_score","percentile_rank"
"1",27053126102,15,NA,NA,1.5,58,74.5,0.993852459016393
"2",27137003800,15,NA,NA,NA,19,34,0.889344262295082
"3",27003050109,10,NA,NA,NA,3,13,0.467213114754098
"4",27003050115,10,NA,NA,NA,6,16,0.55396174863388
"5",27003050220,10,NA,NA,NA,5,15,0.525956284153005
"6",27003050228,10,NA,NA,NA,21,31,0.861338797814208
"7",27003050816,10,NA,NA,NA,10,20,0.659153005464481
"8",27003051103,15,NA,NA,NA,20,35,0.898224043715847
"9",27003051206,75,NA,NA,NA,25,100,0.996584699453552
"10",27007450706,15,NA,NA,NA,9,24,0.745218579234973
"11",27009020202,0,NA,NA,NA,13,13,0.467213114754098
"12",27009020300,10,NA,NA,NA,6,16,0.55396174863388
"13",27013170300,15,NA,NA,NA,34,49,0.959699453551913
"14",27013170900,20,NA,NA,NA,20,40,0.931693989071038
"15",27017070300,15,NA,NA,NA,30,45,0.950136612021858
"16",27017070401,25,NA,NA,NA,31,56,0.976775956284153
"17",27017070502,10,NA,NA,NA,15,25,0.769808743169399
"18",27021940002,15,NA,NA,NA,29,44,0.947404371584699
"19",27021960301,10,NA,NA,NA,5,15,0.525956284153005
"20",27021960700,10,NA,NA,NA,14,24,0.745218579234973
"21",27023950300,10,NA,NA,NA,15,25,0.769808743169399
"22",27035950100,10,NA,NA,NA,8,18,0.60655737704918
"23",27035950702,10,NA,NA,NA,18,28,0.824453551912568
"24",27035951000,15,7.5,NA,NA,21,43.5,0.94603825136612
"25",27035951100,15,7.5,NA,NA,49,71.5,0.991803278688525
"26",27035951301,15,NA,NA,NA,22,37,0.913251366120219
"27",27037060302,15,NA,NA,NA,5,20,0.659153005464481
"28",27037060508,10,NA,NA,NA,15,25,0.769808743169399
"29",27037060710,10,NA,NA,NA,38,48,0.958333333333333
"30",27037060904,15,NA,NA,NA,25,40,0.931693989071038
"31",27037061109,15,NA,NA,NA,24,39,0.92896174863388
"32",27037061111,15,NA,NA,NA,4,19,0.633879781420765
"33",27037061402,10,NA,NA,NA,20,30,0.849726775956284
"34",27043460500,10,NA,NA,NA,27,37,0.913251366120219
"35",27045960300,10,NA,NA,NA,23,33,0.877732240437158
"36",27053000601,15,NA,NA,NA,16,31,0.861338797814208
"37",27053007801,15,NA,NA,NA,5,20,0.659153005464481
"38",27053020301,15,NA,NA,NA,9,24,0.745218579234973
"39",27053020400,15,NA,NA,1.5,23,39.5,0.931010928961749
"40",27053020500,15,NA,11.25,NA,5,31.25,0.869535519125683
"41",27053021602,15,NA,NA,NA,48,63,0.987704918032787
"42",27053022802,15,NA,NA,1.5,18,34.5,0.896857923497268
"43",27053023000,30,NA,3.75,1.5,34,69.25,0.991120218579235
"44",27053023401,10,NA,NA,NA,5,15,0.525956284153005
"45",27053024100,15,NA,NA,NA,14,29,0.838114754098361
"46",27053024904,15,NA,NA,NA,11,26,0.790300546448087
"47",27053026028,10,NA,NA,NA,12,22,0.702868852459016
"48",27053026202,15,NA,NA,NA,8,23,0.726092896174863
"49",27053026811,15,NA,NA,1.5,7,23.5,0.741803278688525
"50",27053027101,10,NA,NA,NA,48,58,0.98292349726776
"51",27053027203,15,NA,NA,1.5,43,59.5,0.984289617486339
"52",27053027602,15,7.5,NA,NA,21,43.5,0.94603825136612
"53",27053101800,15,7.5,NA,NA,11,33.5,0.887978142076503
"54",27053102600,15,7.5,3.75,NA,20,46.25,0.954918032786885
"55",27053103600,15,NA,NA,1.5,10,26.5,0.806010928961749
"56",27053104002,15,7.5,NA,1.5,85,109,0.998633879781421
"57",27053104100,30,NA,NA,NA,27,57,0.978825136612022
"58",27053106700,15,NA,NA,1.5,20,36.5,0.911885245901639
"59",27053107500,15,NA,NA,NA,21,36,0.906420765027322
"60",27053111400,15,NA,NA,NA,17,32,0.871584699453552
"61",27053122500,15,15,NA,NA,3,33,0.877732240437158
"62",27053125500,15,NA,NA,NA,73,88,0.995218579234973
"63",27053126300,15,NA,NA,NA,29,44,0.947404371584699
"64",27053980000,15,7.5,NA,NA,44,66.5,0.989071038251366
"65",27055020500,15,NA,NA,NA,20,35,0.898224043715847
"66",27057070500,10,NA,NA,NA,4,14,0.49931693989071
"67",27059130400,10,NA,NA,NA,3,13,0.467213114754098
"68",27059130600,15,NA,NA,NA,4,19,0.633879781420765
"69",27061480301,10,NA,NA,NA,16,26,0.790300546448087
"70",27067780700,15,NA,NA,NA,28,43,0.943306010928962
"71",27071790300,15,NA,NA,NA,34,49,0.959699453551913
"72",27071790500,15,NA,NA,NA,26,41,0.937158469945355
"73",27075370101,15,NA,NA,NA,30,45,0.950136612021858
"74",27075370300,15,NA,NA,NA,75,90,0.995901639344262
"75",27079950200,10,NA,NA,NA,17,27,0.809426229508197
"76",27079950300,10,NA,NA,NA,27,37,0.913251366120219
"77",27079950600,10,NA,NA,NA,20,30,0.849726775956284
"78",27091790200,10,NA,NA,NA,14,24,0.745218579234973
"79",27093560200,10,NA,NA,NA,18,28,0.824453551912568
"80",27101900200,10,NA,NA,NA,27,37,0.913251366120219
"81",27105105500,15,NA,NA,NA,30,45,0.950136612021858
"82",27109000500,15,NA,3.75,NA,20,38.75,0.92827868852459
"83",27109001201,15,NA,NA,NA,3,18,0.60655737704918
"84",27109001800,15,NA,NA,NA,18,33,0.877732240437158
"85",27109001902,10,NA,NA,NA,18,28,0.824453551912568
"86",27111960500,25,NA,NA,NA,20,45,0.950136612021858
"87",27115950402,15,NA,NA,NA,21,36,0.906420765027322
"88",27115950700,10,NA,NA,NA,33,43,0.943306010928962
"89",27123030100,15,NA,NA,NA,19,34,0.889344262295082
"90",27123031100,15,NA,NA,NA,14,29,0.838114754098361
"91",27123033100,15,NA,NA,NA,23,38,0.922131147540984
"92",27123033400,15,NA,NA,NA,57,72,0.992486338797814
"93",27123036900,15,NA,NA,NA,12,27,0.809426229508197
