"","GEOID","enf_points","insp_points","hw_points","percentile_rank"
"1",27027020400,3.5,1,4.5,66.3557628247835
"2",27055020300,5,1,6,71.9520319786809
"3",27067780800,3,1,4,63.5576282478348
"4",27047180600,41,5,46,99.0672884743504
"5",27053025802,NA,NA,0,0
"6",27053020600,NA,NA,0,0
"7",27053026809,6.5,NA,6.5,73.217854763491
"8",27053000101,2,NA,2,50.7661558960693
"9",27053003300,NA,NA,0,0
"10",27053101300,NA,NA,0,0
"11",27053104400,4,NA,4,63.5576282478348
"12",27053026005,0.5,NA,0.5,35.8427714856762
"13",27053026706,NA,NA,0,0
"14",27053108600,NA,NA,0,0
"15",27053025302,NA,NA,0,0
"16",27053108900,0.5,1,1.5,45.9027315123251
"17",27053011000,NA,NA,0,0
"18",27053008200,2,NA,2,50.7661558960693
"19",27053008400,NA,NA,0,0
"20",27053106400,NA,NA,0,0
"21",27053026511,0.5,NA,0.5,35.8427714856762
"22",27053024100,NA,NA,0,0
"23",27003050110,1.5,NA,1.5,45.9027315123251
"24",27003050233,NA,NA,0,0
"25",27003050224,1,NA,1,40.7728181212525
"26",27013170600,1,NA,1,40.7728181212525
"27",27013171101,6.5,NA,6.5,73.217854763491
"28",27015960300,4,NA,4,63.5576282478348
"29",27083360400,2.5,NA,2.5,55.0966022651566
"30",27099000300,1.5,NA,1.5,45.9027315123251
"31",27103480100,3.5,NA,3.5,61.4923384410393
"32",27117460300,1.5,NA,1.5,45.9027315123251
"33",27161790400,0.5,NA,0.5,35.8427714856762
"34",27163070910,NA,NA,0,0
"35",27167950100,1,NA,1,40.7728181212525
"36",27123032400,8,1,9,78.8141239173884
"37",27123030500,6.5,NA,6.5,73.217854763491
"38",27123033900,NA,NA,0,0
"39",27123033400,17.5,2,19.5,92.4050632911392
"40",27123030100,2.5,NA,2.5,55.0966022651566
"41",27123041200,17,1,18,91.4057295136576
"42",27123041602,NA,NA,0,0
"43",27123034400,NA,NA,0,0
"44",27165950100,3,1,4,63.5576282478348
"45",27109000200,2.5,NA,2.5,55.0966022651566
"46",27109000400,2,2,4,63.5576282478348
"47",27145000701,28.5,2,30.5,97.001998667555
"48",27089080300,NA,NA,0,0
"49",27137003700,0.5,1,1.5,45.9027315123251
"50",27137001300,3.5,NA,3.5,61.4923384410393
"51",27139080600,NA,NA,0,0
"52",27021940002,NA,NA,0,0
"53",27071790500,8,NA,8,76.8820786142572
"54",27037060811,NA,NA,0,0
