"","geoid","lake_impairments","stream_impairments","wetland_impairments","impairment_score","percentile_rank"
"1",27137003700,8,1,NA,9,88.011088011088
"2",27137003300,8,3,NA,11,96.6042966042966
"3",27137003400,8,3,NA,11,96.6042966042966
"4",27137002200,8,8,NA,16,99.7920997920998
"5",27137002400,8,4,NA,12,98.4753984753985
"6",27137000301,8,4,NA,12,98.4753984753985
"7",27137015600,8,8,NA,16,99.7920997920998
"8",27137015800,8,4,NA,12,98.4753984753985
"9",27137002900,8,3,NA,11,96.6042966042966
"10",27137010200,8,3,NA,11,96.6042966042966
"11",27137003800,8,6,NA,14,99.7227997227997
"12",27137002000,8,8,NA,16,99.7920997920998
"13",27137003600,8,3,NA,11,96.6042966042966
"14",27137003000,8,3,NA,11,96.6042966042966
"15",27137002600,8,4,NA,12,98.4753984753985
"16",27137001900,8,8,NA,16,99.7920997920998
"17",27017070300,7,6,NA,13,99.3069993069993
"18",27017070402,7,6,NA,13,99.3069993069993
"19",27059130600,4,1,NA,5,51.004851004851
"20",27059130100,4,1,NA,5,51.004851004851
"21",27053026809,4,5,NA,9,88.011088011088
"22",27053000101,4,5,NA,9,88.011088011088
"23",27053020201,4,5,NA,9,88.011088011088
"24",27053020303,4,5,NA,9,88.011088011088
"25",27053020304,4,5,NA,9,88.011088011088
"26",27053020903,4,1,NA,5,51.004851004851
"27",27053021300,4,4,NA,8,83.021483021483
"28",27053021200,4,5,NA,9,88.011088011088
"29",27053020700,4,NA,NA,4,34.7886347886348
"30",27053021100,4,4,NA,8,83.021483021483
"31",27053100200,4,5,NA,9,88.011088011088
"32",27053020400,4,5,NA,9,88.011088011088
"33",27053020801,4,3,NA,7,76.0914760914761
"34",27053020500,4,5,NA,9,88.011088011088
"35",27053020804,4,NA,NA,4,34.7886347886348
"36",27053020902,4,4,NA,8,83.021483021483
"37",27163070603,4,1,NA,5,51.004851004851
"38",27037061109,4,9,NA,13,99.3069993069993
"39",27163070802,4,2,NA,6,63.4095634095634
"40",27163070705,4,2,NA,6,63.4095634095634
"41",27163070602,4,2,NA,6,63.4095634095634
"42",27163070501,4,4,NA,8,83.021483021483
"43",27163070706,4,2,NA,6,63.4095634095634
"44",27163070502,4,4,NA,8,83.021483021483
"45",27163071101,4,2,NA,6,63.4095634095634
"46",27037061401,4,9,NA,13,99.3069993069993
"47",27163071102,4,9,NA,13,99.3069993069993
"48",27163070704,4,2,NA,6,63.4095634095634
"49",27163070404,4,4,NA,8,83.021483021483
"50",27163070703,4,2,NA,6,63.4095634095634
"51",27163070801,4,2,NA,6,63.4095634095634
"52",27073180100,3,5,NA,8,83.021483021483
"53",27023950500,3,4,NA,7,76.0914760914761
"54",27073180300,3,5,NA,8,83.021483021483
"55",27033270200,3,5,NA,8,83.021483021483
"56",27041450601,3,NA,NA,3,19.1268191268191
"57",27041450602,3,NA,NA,3,19.1268191268191
"58",27041450702,3,NA,NA,3,19.1268191268191
"59",27041451000,3,2,NA,5,51.004851004851
"60",27041450703,3,NA,NA,3,19.1268191268191
"61",27041450704,3,NA,NA,3,19.1268191268191
"62",27041450500,3,5,NA,8,83.021483021483
"63",27053108600,3,NA,NA,3,19.1268191268191
"64",27053011000,3,5,1,9,88.011088011088
"65",27053008200,3,NA,NA,3,19.1268191268191
"66",27053008400,3,NA,NA,3,19.1268191268191
"67",27053110900,3,5,1,9,88.011088011088
"68",27053125800,3,NA,NA,3,19.1268191268191
"69",27053109400,3,NA,NA,3,19.1268191268191
"70",27053009600,3,5,NA,8,83.021483021483
"71",27053107400,3,9,NA,12,98.4753984753985
"72",27053007700,3,NA,NA,3,19.1268191268191
"73",27053110000,3,5,NA,8,83.021483021483
"74",27053008500,3,NA,NA,3,19.1268191268191
"75",27053126000,3,NA,NA,3,19.1268191268191
"76",27053009500,3,5,NA,8,83.021483021483
"77",27053110100,3,5,NA,8,83.021483021483
"78",27053107500,3,9,NA,12,98.4753984753985
"79",27053007801,3,NA,NA,3,19.1268191268191
"80",27053008300,3,NA,NA,3,19.1268191268191
"81",27053109900,3,5,NA,8,83.021483021483
"82",27053108700,3,NA,NA,3,19.1268191268191
