"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"1",27001770100,0.2,NA,NA,1,NA,NA,NA,NA,3,NA,4.2,47.470398277718
"2",27001770300,2,2,NA,2,NA,NA,NA,NA,6,NA,12,78.0409041980624
"3",27001790503,2,NA,NA,1,1,1,NA,NA,NA,NA,4,43.4876210979548
"4",27003050210,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"5",27003050215,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"6",27003050829,0.2,0.5,NA,1,NA,NA,NA,4,12,NA,17.7,87.9440258342304
"7",27003051600,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"8",27005450300,2,27,NA,3,NA,NA,NA,NA,NA,NA,32,96.7707212055974
"9",27007450102,2,2,NA,1,NA,1,5,NA,1.5,NA,11.5,77.0721205597416
"10",27009020202,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"11",27009020205,2,6.5,NA,1,NA,1,6,NA,NA,NA,15.5,85.037674919268
"12",27009020206,0.5,NA,NA,NA,NA,0.25,NA,NA,0.25,NA,0.75,6.9967707212056
"13",27009020300,2,10,NA,NA,NA,NA,NA,NA,12.6,NA,24.6,93.756727664155
"14",27009021104,2,1.5,NA,1,NA,NA,NA,NA,1,NA,5.5,52.4219590958019
"15",27009021201,1,5.5,NA,1,NA,NA,NA,NA,9,NA,16.5,86.0064585575888
"16",27013170300,1,2,NA,NA,NA,NA,NA,NA,6.1,8,17.1,87.1905274488697
"17",27013171500,4,15.5,NA,1,NA,NA,NA,NA,NA,NA,20.5,89.8815931108719
"18",27015960400,2,23,NA,4,0.1,3,14.25,NA,1,NA,44.35,99.4617868675996
"19",27019090101,3,0.5,NA,1,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"20",27019090102,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"21",27019090200,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"22",27019090501,2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"23",27019090502,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"24",27019090703,4,2.5,NA,NA,NA,NA,NA,1,0.25,NA,7.75,65.6620021528525
"25",27019090802,2,NA,NA,NA,NA,NA,NA,4,1,NA,7,61.1410118406889
"26",27019090902,1,NA,NA,NA,NA,NA,NA,4,1,NA,6,55.1130247578041
"27",27019091001,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"28",27019091202,2,NA,NA,NA,NA,NA,NA,NA,6,NA,8,65.8772874058127
"29",27021960200,2,1.5,NA,1,NA,1,4,NA,NA,NA,8.5,68.1377825618945
"30",27021960302,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"31",27021960600,6,16,NA,5,NA,1,6,4,6,NA,43,99.0312163616792
"32",27021960801,2,1.5,NA,1,NA,1,7,NA,3,NA,14.5,83.2077502691066
"33",27025110201,2,1.5,NA,1,NA,1,7,NA,NA,NA,11.5,77.0721205597416
"34",27025110202,1,NA,NA,NA,NA,0.1,NA,NA,NA,NA,1,8.18083961248654
"35",27025110301,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"36",27025110501,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"37",27025110503,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"38",27025110700,4,NA,NA,4,NA,NA,NA,NA,NA,NA,8,65.8772874058127
"39",27027020400,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"40",27027020500,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"41",27027020600,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"42",27027030109,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"43",27027030111,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"44",27027030201,3,11.5,2,6,1,2,13,2,3,NA,41.5,98.708288482239
"45",27029000100,2,NA,NA,1,NA,1,4,4,1,NA,12,78.0409041980624
"46",27031480102,4,9,NA,4,NA,1,NA,NA,2,NA,19,88.5898815931109
"47",27035950100,2,3.5,NA,NA,NA,NA,NA,NA,1,NA,6.5,58.4499461786868
"48",27035950802,4,14.5,2,3,2,7,11,4,NA,NA,40.5,98.6006458557589
"49",27035950901,2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"50",27035951301,2,1.5,NA,NA,NA,NA,NA,NA,0.5,NA,4,43.4876210979548
"51",27035951303,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,2.2,31.1087190527449
"52",27035951304,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"53",27037060301,1,3,NA,2,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"54",27037060402,2,NA,NA,NA,NA,1,7,NA,NA,NA,9,69.967707212056
"55",27037060503,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"56",27037060508,6,14,4,6,1,6,8,NA,NA,NA,39,98.1700753498385
"57",27037060509,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,1.2,11.6254036598493
"58",27037060603,0.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.9,25.5113024757804
"59",27037060710,0.2,10,4,5,1,6,8,NA,6,NA,34.2,97.4165769644779
"60",27037060711,2,1.5,NA,NA,0.5,NA,NA,NA,NA,NA,4,43.4876210979548
"61",27037060717,2,4,NA,3,NA,NA,NA,NA,NA,NA,9,69.967707212056
"62",27037060725,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"63",27037060726,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"64",27037060727,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"65",27037060737,2,3.5,NA,NA,0.1,NA,NA,NA,NA,NA,5.6,54.5748116254037
"66",27037060748,2,NA,NA,NA,1,NA,NA,NA,6,NA,9,69.967707212056
"67",27037061001,4,7.5,NA,3,NA,NA,8,NA,4,NA,26.5,94.6178686759957
"68",27037061003,8,26.5,2,1,0.5,9,0.8,NA,1.3,NA,40.1,98.4930032292788
"69",27037061102,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"70",27037061105,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"71",27037061106,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"72",27037061111,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"73",27037061502,2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"74",27039950400,2,2.5,NA,3,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"75",27041450200,4.4,1,2,1,NA,1,6,NA,4,NA,18.4,88.3745963401507
"76",27041450500,2,12.5,NA,5,NA,1,6,NA,3,NA,28.5,95.9095801937567
"77",27041451000,4,NA,NA,NA,NA,0.1,NA,NA,NA,NA,4,43.4876210979548
"78",27043460300,1,7,NA,3,NA,NA,NA,NA,NA,NA,11,76.210979547901
"79",27043460400,2,4,NA,3,NA,NA,NA,NA,NA,NA,9,69.967707212056
"80",27045960100,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"81",27045960300,2,13,NA,9,NA,NA,NA,NA,NA,NA,24,92.6803013993541
"82",27045960400,2,34.5,NA,4,NA,NA,NA,2,1,NA,43.5,99.3541442411195
"83",27047180400,0.5,NA,NA,NA,NA,0.25,1,NA,1.5,NA,3,34.983853606028
"84",27047180500,2,1,NA,NA,NA,1,4,NA,6,NA,13,80.5166846071044
"85",27047180700,0.5,3,NA,5,NA,2,12,NA,7.5,NA,28,95.8019375672766
"86",27049080101,2,8,NA,NA,NA,1,1.75,2,1,0.8,15.55,85.6835306781485
"87",27049080201,1,7.5,NA,2,NA,2,7.75,0.5,0.25,8,27,94.8331539289559
"88",27049080202,2,5.5,NA,3,NA,1,7,2,1,NA,20.5,89.8815931108719
"89",27049080400,2.5,18.5,NA,1,NA,0.1,0.7,1,0.5,NA,24.2,93.2185145317546
"90",27051070200,4,1,NA,NA,NA,1,1.5,NA,0.8,NA,7.3,63.6167922497309
"91",27053026015,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"92",27053026023,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"93",27053026028,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"94",27053026514,2,4,NA,1,NA,NA,NA,NA,NA,NA,7,61.1410118406889
