"","latitude","longitude","permit_number","ai_name","ai_id","units","waste_amount","waste_type"
"1",45.27253958,-95.00968527,"SW-79","Kandiyohi County Sanitary Landfill",167,"cubic yards",100,"compost"
"2",45.65637787,-94.18118544,"SW-188","Henkemeyer Demolition Landfill",170,"cubic yards per year",600,"compost"
"3",47.55085576,-95.39434925,"SW-168","Clearwater County Demolition Debris Land Disposal",457,"cubic yards",200,"compost"
"4",46.74255742,-94.44755138,"SW-419","Cass County Transfer/Recycling Station",462,"cubic yards",2000,"compost"
"5",47.42169396,-94.83160809,"SW-306","Beltrami County Demolition Landfill",877,"cubic yards",14000,"compost"
"6",46.8564267,-95.89080886,"SW-311","Becker County Solid Waste Management Facility",878,"cubic yards",5000,"compost"
"7",44.96918871,-93.8427181,"PBR000649","Watertown WWTP",1190,"cubic yards per year",2e+05,"compost"
"8",45.786111,-93.305556,"SW-17","East Central Solid Waste Commission",1441,"cubic yards",5000,"compost"
"9",47.12794741,-91.54149778,"SW-398","Lake County Demolition Landfill",1467,"tons per year",365,"compost"
"10",47.30999594,-93.60579634,"SW-448","Itasca County Demolition Landfill/MSW Transfer Station",1469,"cubic yards",200,"compost"
"11",45.971461,-92.953155,"SW-401","ECC - Hinckley Transfer Station",1479,"cubic yards per year",100,"compost"
"12",46.339169,-94.40150192,"SW-291","Hengel Ready Mix & Construction Inc",1572,"cubic yards per year",1000,"compost"
"13",43.83176137,-94.42508225,"SW-357","State Special Waste Facility - Truman",1609,"tons per year",50000,"compost"
"14",46.5348297,-93.68923365,"SW-384","Garrison Disposal Co",1614,"cubic yards per year",80,"compost"
"15",46.36228028,-94.78393896,"PBR000698","Staples WWTP",1626,"cubic yards per year",200,"compost"
"16",43.67376803,-95.76487894,"SW-11","Nobles County Landfill Inc",2283,"cubic yards",5000,"compost"
"17",44.37775651,-93.22982225,"SW-123","Rice County Landfill",2367,"cubic yards per year",1e+05,"compost"
"18",46.29532432,-95.42348474,"SW-395","Henning Transfer Station/Demo Landfill",2373,"cubic yards",4000,"compost"
"19",45.27972385,-95.5902879,"SW-375","Swift County Compost/Recycling Facility",2375,"tons per year",6500,"compost"
"20",46.43096692,-94.06794088,"SW-376","Crow Wing County Landfill",2376,"cubic yards per year",25000,"compost"
"21",45.61404784,-96.84194813,"PBR001399","Browns Valley Demo Debris Land Disposal",2379,"cubic yards per year",120,"compost"
"22",46.75844039,-92.12260349,"SW-583","Western Lake Superior Sanitary District",2426,"tons per year",16000,"compost"
"23",47.49327836,-92.63750846,"SW-240","US Steel Corp - Minntac",2476,"cubic yards per year",1000,"compost"
"24",44.31084946,-93.26765858,"PBR000625","Faribault WWTP",2960,"cubic yards per year",1500,"compost"
"25",46.97377647,-94.10731438,"SW-489","Slagle Demolition Landfill",3019,"cubic yards",500,"compost"
"26",45.80901517,-96.48390643,"SW-404","Wheaton Demolition Debris Disposal",3022,"tons per year",2000,"compost"
"27",47.528099,-92.488554,"SW-405","Saint Louis County Regional Landfill",3023,"cubic yards per year",4000,"compost"
"28",45.32287122,-93.61053525,"PBR000688","Plaisted Companies Inc",3033,"cubic yards per year",9000,"compost"
"29",45.8367617,-95.75802009,"SW-410","Pope/Douglas Ash Landfill",3040,"tons per year",7800,"compost"
"30",45.8367617,-95.75802009,"SW-410","Pope/Douglas Ash Landfill",3040,"tons per year",7800,"compost"
"31",45.83682673,-95.75473653,"SW-410","Pope/Douglas Ash Landfill",3040,"cubic yards",15000,"compost"
"32",44.75321722,-93.00674014,"SW-383","SKB Rosemount Industrial Waste Facility",3163,"tons per year",50000,"compost"
"33",44.75321722,-93.00674014,"SW-383","SKB Rosemount Industrial Waste Facility",3163,"tons per year",50000,"compost"
"34",45.9405518,-95.33201662,"SW-406","Douglas County Demo & Landfill LLC",3165,"cubic yards",750,"compost"
"35",45.61434974,-95.34960186,"SW-408","Glenwood Demolition Disposal LLC",3169,"cubic yards per year",2500,"compost"
"36",44.52779105,-94.71928328,"PBR000629","Fairfax city of",3740,"cubic yards per year",200,"compost"
"37",47.25740756,-94.8728145,"SW-315","Hubbard County North Facility",3812,"cubic yards per year",1400,"compost"
"38",45.68535886,-92.96594213,"PBR000689","Rush City WWTP",3911,"cubic yards per year",500,"compost"
"39",45.52103673,-92.97524474,"PBR000693","North Branch WWTP",3915,"cubic yards per year",3000,"compost"
"40",46.91160361,-95.03269725,"SW-318","Hubbard County Southern Transfer Facility",3954,"cubic yards per year",5000,"compost"
"41",45.46166462,-94.46229166,"SW-333","TK Demolition Disposal LLC",3962,"cubic yards per year",2500,"compost"
"42",45.46152587,-94.46260897,"SW-333","TK Demolition Disposal LLC",3962,"cubic yards per year",2500,"compost"
"43",44.40208983,-92.30211669,"PBR000618","Lake City Compost Site",3964,"cubic yards per year",4500,"compost"
"44",45.559958,-95.888873,"SW-508","Stevens County Demolition and Transfer Station",3966,"cubic yards",20000,"compost"
"45",45.71776343,-95.00293112,"SW-335","Bueckers City Sanitation Services",3967,"cubic yards",1000,"compost"
"46",44.975182,-93.21274,"SW-525","SKB Malcolm Avenue Transfer Station",4201,"cubic yards",50000,"compost"
"47",44.02726436,-92.42868451,"SW-636","Olmsted Waste-to-Energy Facility",4218,"cubic yards per year",25000,"compost"
"48",44.78143109,-93.3121127,"PBR000645","Burnsville Yard Waste Compost Facility",4268,"cubic yards per year",70000,"compost"
"49",44.78143109,-93.3121127,"PBR000645","Burnsville Yardwaste Compost Facility",4268,"cubic yards",120000,"compost"
"50",44.54802666,-92.5682531,"SW-661","Red Wing Solid Waste Campus",4386,"cubic yards per year",15000,"compost"
"51",44.77925829,-93.05096918,"SW-45","Pine Bend Sanitary Landfill",4910,"tons per year",63000,"compost"
"52",47.80573969,-96.54398172,"SW-124","Polk County Sanitary Landfill",4918,"cubic yards per year",18200,"compost"
"53",46.54388445,-95.4434647,"SW-544","NE Otter Tail Phase II Ash & Demo Landfill",4933,"cubic yards per year",3500,"compost"
"54",48.566667,-93.441667,"SW-550","Koochiching Recycling & Transfer",4966,"tons per year",500,"compost"
"55",45.46216051,-94.40014972,"SW-557","Mississippi Topsoils Inc",6087,"tons per year",9360,"compost"
"56",44.04630723,-93.2335947,"PBR000668","OMG Midwest Inc/Southern MN Construction Limestone",7265,"cubic yards per year",15000,"compost"
"57",45.3279963,-93.0896317,"SW-609","SRC Inc - Transfer Station",13954,"cubic yards per year",24000,"compost"
"58",46.46224299,-93.73405188,"SW-541","Waste Management - Oak Ridge Landfill",35895,"cubic yards",1500,"compost"
"59",44.866107,-94.33950421,"SW-569","Hutchinson city of - Creekside Organic Material Processing Facility",36173,"tons per year",30000,"compost"
"60",44.8797775,-94.36339174,"SW-569","Hutchinson city of - Creekside Organic Material Processing Facility",36173,"tons per year",4400,"compost"
"61",44.859778,-93.603528,"SW-677","University of MN - Landscape Arboretum",37893,"cubic yards per year",12000,"compost"
"62",44.859778,-93.603528,"SW-677","University of MN - Landscape Arboretum",37893,"cubic yards per year",3000,"compost"
"63",44.4375344,-93.18953932,"PBR000701","Northfield city of",39224,"cubic yards per year",7000,"compost"
"64",45.12701423,-94.52655619,"PBR000636","Litchfield city of",39619,"cubic yards per year",900,"compost"
"65",46.66809366,-92.24594233,"PBR001261","Vonco V Duluth LLC",40354,"cubic yards",110000,"compost"
"66",46.66809366,-92.24594233,"SW-536","Vonco V Duluth LLC",40354,"cubic yards per year",110000,"compost"
"67",44.90066259,-93.7303977,"PBR000647","Minnetrista Yardwaste Compost Site",49736,"cubic yards",50000,"compost"
"68",45.352786,-93.866492,"SW-580","Vonco II LLC",50280,"tons per year",80000,"compost"
"69",45.352786,-93.866492,"SW-580","Vonco II LLC",50280,"cubic yards per year",110000,"compost"
"70",46.47385362,-95.14714508,"SW-317","Wadena County Solid Waste Facility",50971,"cubic yards per year",5000,"compost"
"71",46.43185012,-94.07493824,"SW-440","Crow Wing County Demo Debris Landfill",56131,"cubic yards per year",25000,"compost"
"72",44.61516879,-92.76731621,"PBR000663","Ries Farms",65903,"tons per year",65000,"compost"
"73",43.65207635,-93.02076845,"PBR000686","David Hillier Farm",78174,"cubic yards per year",7000,"compost"
"74",44.71111864,-93.0493058,"SW-601","Empire MSW Processing & SSOM Compost Facility",78533,"tons per year",31500,"compost"
"75",44.7110119,-93.0512154,"SW-601","Empire MSW Processing & SSOM Compost Facility",78533,"tons per year",31500,"compost"
"76",45.22537722,-93.24186837,"SW-618","SKB Transfer Station",83614,"cubic yards",1000,"compost"
"77",47.54334139,-90.96118957,"SW-614","Lambs Composting Facility",87586,"cubic yards",49000,"compost"
"78",44.87089717,-92.99674364,"PBR000683","Newport city of Public Works",90514,"cubic yards per year",750,"compost"
"79",43.84269419,-92.49392362,"SW-623","SKB Stewartville Recycling and Transfer",93970,"cubic yards",1037,"compost"
"80",44.16815254,-92.16557316,"PBR000695","Plainview city of",95216,"cubic yards per year",1500,"compost"
"81",45.003969,-93.4691436,"PBR000672","Plymouth city of Public Works",95671,"cubic yards per year",25000,"compost"
"82",45.19538235,-93.65938191,"PBR000563","Saint Michael city of",95836,"cubic yards per year",6000,"compost"
"83",45.31650729,-93.57738388,"PBR000832","Elk River city of",96102,"cubic yards",10000,"compost"
"84",45.98384585,-94.36578389,"PBR000626","Morrison County",96255,"cubic yards per year",3000,"compost"
"85",43.67975404,-93.38255843,"PBR000350","Albert Lea Landfill",97240,"cubic yards per year",2000,"compost"
"86",46.08777804,-94.54380894,"PBR000627","Morrison County",97763,"cubic yards per year",2000,"compost"
"87",46.00679796,-94.05895894,"PBR000628","Morrison County",97764,"cubic yards per year",2000,"compost"
"88",45.74152654,-94.94574617,"PBR000635","Sauk Centre city of",98775,"cubic yards per year",500,"compost"
"89",46.2743325,-95.74142665,"PBR000341","Battle Lake Transfer Station PBR",102231,"tons per year",100,"compost"
"90",43.97852868,-94.61584627,"PBR000665","Watonwan Cty Hwy Maint Shop & Yard",103034,"cubic yards per year",550,"compost"
"91",45.09494018,-92.99846953,"PBR000659","Ramsey Cty White Bear Twp Yard Waste Site",103057,"cubic yards per year",10000,"compost"
"92",44.93294406,-93.13104753,"PBR000658","Ramsey County Summit Hill Yard Waste Site",103058,"cubic yards per year",16000,"compost"
"93",44.97211486,-93.04821557,"PBR000655","Ramsey County Frank & Sims Yard Waste Site",103063,"cubic yards per year",22000,"compost"
"94",44.73449789,-93.59030598,"PBR000648","Shakopee Yardwaste Compost Facility",110042,"cubic yards",40000,"compost"
"95",45.55834105,-93.6010938,"PBR001218","Sylva Corporation Inc",110326,"cubic yards",8000,"compost"
"96",44.35671723,-92.07157165,"PBR000699","Wabasha Compost Site",119708,"cubic yards per year",800,"compost"
"97",46.33408829,-94.27780962,"PBR000550","Northland Arboretum",119990,"cubic yards",5000,"compost"
"98",47.5104549,-93.63262137,"PBR000678","Keewatin city of - Itasca County",120120,"cubic yards per year",50,"compost"
"99",44.31717784,-94.54000399,"PBR000680","New Ulm Compost Site",120121,"cubic yards per year",3000,"compost"
"100",45.16898549,-92.97622459,"PBR001345","Washington County Yard Waste Transfer",120122,"cubic yards per year",5750,"compost"
"101",44.46069505,-93.91440681,"PBR001361","City of Le Sueur Compost",120123,"cubic yards per year",1500,"compost"
"102",44.06879092,-96.38045165,"PBR000684","Pipestone Compost & Tree Dump Facility",120124,"cubic yards per year",1250,"compost"
"103",43.6652381,-92.33191973,"PBR000685","Spring Valley yard Waste & Composting Site",120125,"cubic yards per year",1000,"compost"
